,rise,geoid_county,U7B001,U7C005,U7B004,U7C002,U7G001,state_code,state_name
319,1,12101,13628.0,11470.0,301.0,1196.0,8549.0,FL,Florida
320,1,12103,32060.0,23522.0,3151.0,2852.0,17896.0,FL,Florida
321,1,12107,2235.0,2043.0,66.0,73.0,1365.0,FL,Florida
322,1,12109,10164.0,9006.0,166.0,463.0,5043.0,FL,Florida
323,1,12111,2086.0,1863.0,19.0,136.0,1760.0,FL,Florida
324,1,12113,28.0,25.0,1.0,3.0,11.0,FL,Florida
325,1,12115,3487.0,3243.0,49.0,56.0,3675.0,FL,Florida
326,1,12117,21.0,9.0,0.0,7.0,5.0,FL,Florida
327,1,12123,222.0,212.0,0.0,1.0,334.0,FL,Florida
328,1,12127,10829.0,9236.0,610.0,532.0,6649.0,FL,Florida
329,1,12129,166.0,160.0,1.0,1.0,164.0,FL,Florida
330,1,12131,461.0,401.0,12.0,35.0,394.0,FL,Florida
331,1,12133,51.0,47.0,0.0,0.0,46.0,FL,Florida
332,1,13029,4114.0,3329.0,323.0,230.0,1638.0,GA,Georgia
333,1,13039,5602.0,4556.0,522.0,238.0,2500.0,GA,Georgia
334,1,13051,21996.0,15527.0,3416.0,1674.0,10192.0,GA,Georgia
335,1,13127,7222.0,6421.0,329.0,254.0,4529.0,GA,Georgia
336,1,13179,1931.0,980.0,757.0,114.0,790.0,GA,Georgia
337,1,13191,1549.0,1189.0,282.0,32.0,996.0,GA,Georgia
338,1,15001,182.0,62.0,4.0,9.0,134.0,HI,Hawaii
339,1,15003,1560.0,671.0,41.0,302.0,566.0,HI,Hawaii
340,1,15007,257.0,116.0,1.0,47.0,332.0,HI,Hawaii
341,1,15009,212.0,54.0,9.0,28.0,154.0,HI,Hawaii
342,1,22001,187.0,177.0,8.0,2.0,85.0,LA,Louisiana
343,1,22005,2587.0,2296.0,83.0,146.0,1117.0,LA,Louisiana
344,1,22007,3850.0,3404.0,72.0,247.0,2305.0,LA,Louisiana
345,1,22019,4567.0,3773.0,395.0,155.0,2022.0,LA,Louisiana
346,1,22023,1936.0,1786.0,39.0,52.0,1566.0,LA,Louisiana
347,1,22045,1019.0,798.0,82.0,78.0,523.0,LA,Louisiana
348,1,22047,1153.0,1107.0,7.0,19.0,647.0,LA,Louisiana
349,1,22051,4179.0,3367.0,86.0,342.0,2632.0,LA,Louisiana
350,1,22053,129.0,92.0,23.0,1.0,65.0,LA,Louisiana
351,1,22055,6.0,0.0,2.0,0.0,1.0,LA,Louisiana
352,1,22057,18782.0,15354.0,1491.0,809.0,7976.0,LA,Louisiana
353,1,22063,4291.0,3941.0,126.0,88.0,2332.0,LA,Louisiana
354,1,22071,267.0,199.0,16.0,23.0,178.0,LA,Louisiana
355,1,22075,303.0,188.0,42.0,41.0,314.0,LA,Louisiana
356,1,22087,223.0,173.0,8.0,39.0,307.0,LA,Louisiana
357,1,22089,9606.0,7005.0,1716.0,467.0,3593.0,LA,Louisiana
358,1,22093,1127.0,724.0,353.0,20.0,511.0,LA,Louisiana
359,1,22095,1897.0,719.0,980.0,137.0,753.0,LA,Louisiana
360,1,22099,525.0,486.0,0.0,15.0,455.0,LA,Louisiana
361,1,22101,2300.0,978.0,695.0,409.0,1102.0,LA,Louisiana
362,1,22103,8918.0,6493.0,1408.0,541.0,4617.0,LA,Louisiana
363,1,22105,1647.0,1465.0,60.0,71.0,680.0,LA,Louisiana
364,1,22109,32134.0,22005.0,4173.0,1791.0,14237.0,LA,Louisiana
365,1,22113,1489.0,1302.0,49.0,70.0,1010.0,LA,Louisiana
366,1,22121,136.0,107.0,16.0,10.0,56.0,LA,Louisiana
367,1,23005,924.0,863.0,6.0,18.0,635.0,ME,Maine
368,1,23009,85.0,71.0,0.0,4.0,80.0,ME,Maine
369,1,23011,89.0,68.0,0.0,7.0,42.0,ME,Maine
370,1,23013,57.0,54.0,0.0,0.0,34.0,ME,Maine
371,1,23015,106.0,93.0,0.0,2.0,80.0,ME,Maine
372,1,23023,225.0,199.0,1.0,3.0,198.0,ME,Maine
373,1,23027,129.0,122.0,0.0,4.0,113.0,ME,Maine
374,1,23029,233.0,199.0,1.0,8.0,120.0,ME,Maine
375,1,23031,2388.0,2272.0,13.0,18.0,3299.0,ME,Maine
376,1,24003,2779.0,2413.0,178.0,67.0,1388.0,MD,Maryland
377,1,24005,1518.0,545.0,707.0,162.0,736.0,MD,Maryland
378,1,24009,301.0,255.0,18.0,8.0,181.0,MD,Maryland
379,1,24011,365.0,337.0,12.0,3.0,169.0,MD,Maryland
380,1,24015,39.0,15.0,3.0,15.0,7.0,MD,Maryland
