,rise,state_code,U7B001,U7C005,U7B004,U7C002,state_name,U7B001_total,U7B001_percentage
134,5,NH,5088.996308023164,4705.850442288938,22.30947064616404,138.79576809371784,New Hampshire,1377529,0.4
135,6,NH,6539.570501439012,6038.534645608301,27.615269983730496,184.6063203849711,New Hampshire,1377529,0.5
136,7,NH,7629.558759071526,7039.799486590684,34.0345167397625,212.15885067585748,New Hampshire,1377529,0.6
137,8,NH,8846.073639532042,8151.886062508145,47.16286697266072,242.097397480899,New Hampshire,1377529,0.6
138,9,NH,9849.887934611825,9077.502006025446,51.81658777300488,265.06062017697434,New Hampshire,1377529,0.7
139,10,NH,10858.793620697901,9997.169853726733,62.681509183245836,295.75575502907697,New Hampshire,1377529,0.8
140,1,NJ,14900.438326206275,9167.491532558957,1229.9733254946304,2436.251199657357,New Jersey,9288994,0.2
141,2,NJ,53047.38963109365,31749.96585491226,4431.495112950217,9142.76732259239,New Jersey,9288994,0.6
142,3,NJ,129742.31771153938,74558.82259374086,13641.087336025377,22309.44602081289,New Jersey,9288994,1.4
143,4,NJ,222821.54625740138,128576.59653543579,25054.77002716211,37887.48133741279,New Jersey,9288994,2.4
144,5,NJ,318576.0415453699,181264.99218440987,35367.99868534676,55773.13875064774,New Jersey,9288994,3.4
145,6,NJ,409077.0205895733,227220.69238164314,46948.32162427927,75308.18816719395,New Jersey,9288994,4.4
146,7,NJ,493513.7618095642,269716.8228784987,57241.239100193794,93198.13950349306,New Jersey,9288994,5.3
147,8,NJ,568093.9735838071,305840.39565143344,66909.70677777832,110231.56167666726,New Jersey,9288994,6.1
148,9,NJ,638908.7675855522,341204.97786135774,76154.52506419604,126291.5137517509,New Jersey,9288994,6.9
149,10,NJ,703226.0012739248,373855.00376330223,84968.09117645887,141347.43289282412,New Jersey,9288994,7.6
150,1,NY,12783.74849577394,5995.861846668174,1391.22839532657,3325.8505861276867,New York,20201249,0.1
151,2,NY,29331.43189107914,16465.32856967217,3410.938789296065,5951.86772930234,New York,20201249,0.1
152,3,NY,81867.84607392707,45536.22912609132,12809.481523909082,15066.584821413695,New York,20201249,0.4
153,4,NY,196710.2150680184,100895.3441699775,37738.032316102144,36934.489378690654,New York,20201249,1.0
154,5,NY,355902.470125886,183707.1666861568,66626.61963657585,64488.94449790383,New York,20201249,1.8
155,6,NY,554635.57930606,282524.04850295954,105183.66579084452,102355.74755765162,New York,20201249,2.7
156,7,NY,751385.3849771462,376709.2854178037,144185.62138426513,138696.8158540731,New York,20201249,3.7
157,8,NY,928797.7941943742,450142.48556848103,184425.9024855393,175029.06017186664,New York,20201249,4.6
158,9,NY,1082944.1245194077,515995.2086267706,218660.85254739222,206752.4792745404,New York,20201249,5.4
159,10,NY,1253565.4301480663,581464.8035255256,258595.74723176396,247065.41975840804,New York,20201249,6.2
160,1,NC,2054.683531496114,1595.301889322492,285.141517476862,100.88067399771722,North Carolina,10439388,0.0
161,2,NC,9014.83492964016,6873.410686262099,1250.0015060785881,525.5146791018641,North Carolina,10439388,0.1
162,3,NC,25797.066829817206,20413.922587155812,2927.126614613358,1337.8202008484777,North Carolina,10439388,0.2
163,4,NC,46839.699482161195,37257.99956388975,5134.738083890557,2364.9213848582317,North Carolina,10439388,0.4
164,5,NC,68856.81700021448,54572.3422170525,7606.161309778831,3412.3445338658976,North Carolina,10439388,0.7
165,6,NC,94619.34399543038,74113.33789176021,11194.703310973277,4670.411562263138,North Carolina,10439388,0.9
166,7,NC,123560.56120421294,95661.6873057497,15583.68114426462,6096.431553029581,North Carolina,10439388,1.2
167,8,NC,152771.53612468665,117121.03377291969,20037.98087356363,7758.871976035109,North Carolina,10439388,1.5
168,9,NC,180766.78140902144,136730.62744947712,25293.884531321557,9353.99362732991,North Carolina,10439388,1.7
169,10,NC,207517.02442505513,155886.0415668269,30005.296559097602,10804.803932491233,North Carolina,10439388,2.0
